id,name,region,pop,gdp,gdppc,year,gdppc1
AFG,Afghanistan,Asia,38928341.0,19807067268.0,508.81,2020.0,508.81
AGO,Angola,Africa,32866268.0,62306913444.0,1895.77,2020.0,1895.77
ALB,Albania,Europe,2837743.0,14799615097.0,5215.28,2020.0,5215.28
AND,Andorra,Europe,77146.0,3155065488.0,40897.33,2019.0,40897.33
ARE,United Arab Emirates,Asia,9770526.0,421142267937.0,43103.34,2019.0,43103.34
ARG,Argentina,America,45376763.0,383066977654.0,8441.92,2020.0,8441.92
ARM,Armenia,Asia,2963234.0,12645459214.0,4267.45,2020.0,4267.45
ATA,Antarctica,Antarctica,,,,,
ATG,Antigua and Barbuda,America,97928.0,1415059259.0,14450.0,2020.0,14450.0
AUS,Australia,Oceania,25687041.0,1330900925057.0,51812.15,2020.0,51812.15
AUT,Austria,Europe,8917205.0,430947393758.0,48327.63,2020.0,48327.63
AZE,Azerbaijan,Asia,10110116.0,42607176471.0,4214.31,2020.0,4214.31
BDI,Burundi,Africa,11890781.0,3258187233.0,274.01,2020.0,274.01
BEL,Belgium,Europe,11555997.0,515332499628.0,44594.38,2020.0,44594.38
BEN,Benin,Africa,12123198.0,15651545209.0,1291.04,2020.0,1291.04
BFA,Burkina Faso,Africa,20903278.0,17369059295.0,830.93,2020.0,830.93
BGD,Bangladesh,Asia,164689383.0,324239176765.0,1968.79,2020.0,1968.79
BGR,Bulgaria,Europe,6927288.0,69105101090.0,9975.78,2020.0,9975.78
BHR,Bahrain,Asia,1641164.0,38474521277.0,23443.43,2019.0,23443.43
BHS,Bahamas,America,393248.0,11250000000.0,28607.9,2020.0,28607.9
BIH,Bosnia and Herzegovina,Europe,3280815.0,19788422248.0,6031.56,2020.0,6031.56
BLR,Belarus,Europe,9398861.0,60258239056.0,6411.23,2020.0,6411.23
BLZ,Belize,America,397621.0,1763696119.0,4435.62,2020.0,4435.62
BOL,Bolivia,America,11673029.0,36688861203.0,3143.05,2020.0,3143.05
BRA,Brazil,America,212559409.0,1444733258972.0,6796.84,2020.0,6796.84
BRB,Barbados,America,287371.0,4365500000.0,15191.16,2020.0,15191.16
BRN,Brunei,Asia,437483.0,12016056665.0,27466.34,2020.0,27466.34
BTN,Bhutan,Asia,771612.0,2409262838.0,3122.38,2020.0,3122.38
BWA,Botswana,Africa,2351625.0,15781732826.0,6710.99,2020.0,6710.99
CAF,Central African Republic,Africa,4829764.0,2303078338.0,476.85,2020.0,476.85
CAN,Canada,America,38005238.0,1644037286481.0,43258.18,2020.0,43258.18
CHE,Switzerland,Europe,8636896.0,752248045730.0,87097.04,2020.0,87097.04
CHL,Chile,America,19116209.0,252940023046.0,13231.7,2020.0,13231.7
CHN,China,Asia,1402112000.0,14722730697890.0,10500.4,2020.0,10500.4
CIV,Ivory Coast,Africa,26378275.0,61348579465.0,2325.72,2020.0,2325.72
CMR,Cameroon,Africa,26545864.0,39802147568.0,1499.37,2020.0,1499.37
COD,Congo-Kinshasa,Africa,89561404.0,49868970641.0,556.81,2020.0,556.81
COG,Congo-Brazzaville,Africa,5518092.0,10884686143.0,1972.55,2020.0,1972.55
COL,Colombia,America,50882884.0,271346896626.0,5332.77,2020.0,5332.77
COM,Comoros,Africa,869595.0,1219690025.0,1402.6,2020.0,1402.6
CPV,Cape Verde,Africa,555988.0,1703698677.0,3064.27,2020.0,3064.27
CRI,Costa Rica,America,5094114.0,61520669890.0,12076.81,2020.0,12076.81
CUB,Cuba,America,11333484.0,103131000000.0,9099.67,2019.0,9099.67
CYP,Cyprus,Asia,1207361.0,23804340377.0,19716.01,2020.0,19716.01
CZE,Czechia,Europe,10698896.0,245349489988.0,22932.22,2020.0,22932.22
