id,name,region,pop,gdp,gdppc,year
AFG,Afghanistan,Asia,38928341.0,19807067268.0,0,2020.0
AGO,Angola,Africa,32866268.0,62306913444.0,0,2020.0
ALB,Albania,Europe,2837743.0,14799615097.0,0,2020.0
AND,Andorra,Europe,77146.0,3155065488.0,0,2019.0
ARE,United Arab Emirates,Asia,9770526.0,421142267937.0,0,2019.0
ARG,Argentina,America,45376763.0,383066977654.0,0,2020.0
ARM,Armenia,Asia,2963234.0,12645459214.0,0,2020.0
ATA,Antarctica,Antarctica,,,0,
ATG,Antigua and Barbuda,America,97928.0,1415059259.0,0,2020.0
AUS,Australia,Oceania,25687041.0,1330900925057.0,0,2020.0
AUT,Austria,Europe,8917205.0,430947393758.0,0,2020.0
AZE,Azerbaijan,Asia,10110116.0,42607176471.0,0,2020.0
BDI,Burundi,Africa,11890781.0,3258187233.0,0,2020.0
BEL,Belgium,Europe,11555997.0,515332499628.0,0,2020.0
BEN,Benin,Africa,12123198.0,15651545209.0,0,2020.0
BFA,Burkina Faso,Africa,20903278.0,17369059295.0,0,2020.0
BGD,Bangladesh,Asia,164689383.0,324239176765.0,0,2020.0
BGR,Bulgaria,Europe,6927288.0,69105101090.0,0,2020.0
BHR,Bahrain,Asia,1641164.0,38474521277.0,0,2019.0
BHS,Bahamas,America,393248.0,11250000000.0,0,2020.0
BIH,Bosnia and Herzegovina,Europe,3280815.0,19788422248.0,0,2020.0
BLR,Belarus,Europe,9398861.0,60258239056.0,0,2020.0
BLZ,Belize,America,397621.0,1763696119.0,0,2020.0
BOL,Bolivia,America,11673029.0,36688861203.0,0,2020.0
BRA,Brazil,America,212559409.0,1444733258972.0,0,2020.0
BRB,Barbados,America,287371.0,4365500000.0,0,2020.0
BRN,Brunei,Asia,437483.0,12016056665.0,0,2020.0
BTN,Bhutan,Asia,771612.0,2409262838.0,0,2020.0
BWA,Botswana,Africa,2351625.0,15781732826.0,0,2020.0
CAF,Central African Republic,Africa,4829764.0,2303078338.0,0,2020.0
CAN,Canada,America,38005238.0,1644037286481.0,0,2020.0
CHE,Switzerland,Europe,8636896.0,752248045730.0,0,2020.0
CHL,Chile,America,19116209.0,252940023046.0,0,2020.0
CHN,China,Asia,1402112000.0,14722730697890.0,0,2020.0
CIV,Ivory Coast,Africa,26378275.0,61348579465.0,0,2020.0
CMR,Cameroon,Africa,26545864.0,39802147568.0,0,2020.0
COD,Congo-Kinshasa,Africa,89561404.0,49868970641.0,0,2020.0
COG,Congo-Brazzaville,Africa,5518092.0,10884686143.0,0,2020.0
COL,Colombia,America,50882884.0,271346896626.0,0,2020.0
COM,Comoros,Africa,869595.0,1219690025.0,0,2020.0
CPV,Cape Verde,Africa,555988.0,1703698677.0,0,2020.0
CRI,Costa Rica,America,5094114.0,61520669890.0,0,2020.0
CUB,Cuba,America,11333484.0,103131000000.0,0,2019.0
CYP,Cyprus,Asia,1207361.0,23804340377.0,0,2020.0
CZE,Czechia,Europe,10698896.0,245349489988.0,0,2020.0
DEU,Germany,Europe,83240525.0,3846413928654.0,0,2020.0
DJI,Djibouti,Africa,988002.0,3384404260.0,0,2020.0
