name,state,population,latitude,longitude
Faribault,Minnesota,25376,44.2904864696,-93.2680127378
Mankato,Minnesota,56325,44.1636208283,-93.9991567401
Albert Lea,Minnesota,20522,43.6477866812,-93.3687042661
Willmar,Minnesota,18473,45.1218827505,-95.0433048927
Brainerd,Minnesota,28187,46.3580088492,-94.2008498553
Crookston,Minnesota,8653,47.7737622264,-96.6077313657
Hardin,Montana,4448,45.7317680044,-107.612486004
Glendive,Montana,5856,47.10858319,-104.710492596
Dillon,Montana,4463,45.2156754751,-112.683985231
Polson,Montana,5326,47.6880051871,-114.156686037
Devils Lake,North Dakota,7813,48.1122170197,-98.8596869321
Burley,Idaho,14042,42.5358132111,-113.791876263
Wallace,Idaho,1028,47.4742197867,-115.926888063
Kennewick,Washington,102504,46.2113769725,-119.136097862
Centralia,Washington,18880,46.7164107453,-122.952970827
Glendale,Arizona,500000,33.5819411408,-112.195823814
Safford,Arizona,10668,32.8338214305,-109.706880129
Casa Grande,Arizona,44655,32.8793742056,-111.756625816
Mesa,Arizona,1085394,33.4239146108,-111.736084434
Lake Havasu City,Arizona,56133,34.4982934764,-114.308278851
Berkeley,California,496356,37.8739013866,-122.271151979
National City,California,150000,32.6719450063,-117.09800521
Mendocino,California,548,39.3077673534,-123.799430788
Paso Robles,California,27157,35.6265966991,-120.689982342
Riverside,California,297554,33.9419450063,-117.398038576
Delano,California,44757,35.7619372752,-119.243068076
San Mateo,California,626406,37.5569181509,-122.313061566
Vallejo,California,146289,38.1119488719,-122.258052004
Glenwood Springs,Colorado,14004,39.5465899852,-107.324699953
Aurora,Colorado,587540,39.6958573599,-104.80849695
Greeley,Colorado,125410,40.4191982209,-104.739974001
Tonopah,Nevada,3261,38.0669903758,-117.228979128
Deming,New Mexico,16298,32.2610915314,-107.755784751
Truth or Consequences,New Mexico,7121,33.1335964142,-107.25289555
Las Vegas,New Mexico,16998,35.5970119416,-105.222502687
Farmington,New Mexico,43278,36.7541506134,-108.186094403
Springfield,Oregon,56032,44.0519480581,-122.978033897
Tillamook,Oregon,8145,45.4552474152,-123.842503094
Ontario,Oregon,12187,44.0266266063,-116.961889488
La Grande,Oregon,15004,45.3246869091,-118.086601198
Richfield,Utah,7621,38.7724770295,-112.083298382
Nephi,Utah,5117,39.7102750845,-111.835484051
Lander,Wyoming,6821,42.8330043732,-108.732598513
Powell,Wyoming,6895,44.7586749462,-108.758436729
Paragould,Arkansas,23450,36.0570872183,-90.5028843605
Iowa City,Iowa,98516,41.6610862417,-91.5299792905
Ottumwa,Iowa,25982,41.0128829133,-92.4148090024
Spencer,Iowa,11203,43.1452850536,-95.1471745217
Ft. Dodge,Iowa,26879,42.5068227326,-94.180256797
Hutchinson,Kansas,44477,38.0654917593,-97.9234908465
Kansas City,Kansas,501577,39.1135805169,-94.6301463771
Lawrence,Kansas,92726,38.9597524201,-95.2552299416
Garden City,Kansas,28564,37.9752130321,-100.86408655
Manhattan,Kansas,56949,39.1940275259,-96.5924351418
Hays,Kansas,21394,38.8793697297,-99.3221910012
Goodland,Kansas,4378,39.348488382,-101.711037437
Independence,Missouri,148102,39.091113911,-94.4152812111
Kirksville,Missouri,19193,40.1936822704,-92.5828090838
Kearney,Nebraska,31553,40.7007055858,-99.0811462827
Grand Island,Nebraska,45651,40.9222682892,-98.3579862892
Alliance,Nebraska,8344,42.1013952831,-102.870191489
Bartlesville,Oklahoma,34610,36.7472001333,-95.9805861834
Enid,Oklahoma,46138,36.3955420116,-97.8780931008
Ardmore,Oklahoma,24960,34.1810776968,-97.1294049497
McAlester,Oklahoma,21668,34.9329956248,-95.7659739601
Stillwater,Oklahoma,47667,36.135351175,-97.0682975685
